S.No,District,Covishield_HCW_1st,Covishield_HCW_2nd,Covishield_FLW_1st,Covishield_FLW_2nd,Covishield_18_44_1st,Covishield_18_44_2nd,Covishield_45_60_Comorb_1st,Covishield_45_60_Comorb_2nd,Covishield_60_Comorb_1st,Covishield_60_Comorb_2nd,Covishield_Total_1st,Covishield_Total_2nd,Covaxin_HCW_1st,Covaxin_HCW_2nd,Covaxin_FLW_1st,Covaxin_FLW_2nd,Covaxin_18_44_1st,Covaxin_18_44_2nd,Covaxin_45_60_Comorb_1st,Covaxin_45_60_Comorb_2nd,Covaxin_60_Comorb_1st,Covaxin_60_Comorb_2nd,Covaxin_Total_1st,Covaxin_Total_2nd,Total_HCW_1st,Total_HCW_2nd,Total_FLW_1st,Total_FLW_2nd,Total_18_44_1st,Total_18_44_2nd,Total_45_60_Comorb_1st,Total_45_60_Comorb_2nd,Total_60_Comorb_1st,Total_60_Comorb_2nd,Total_All_1st,Total_All_2nd,Total_All_Vaccinations,Total_HCW_Vaccination,Total_FLW_Vaccination,Total_Covishield_Vaccination,Total_Covaxin_Vaccination,Vaccination_Efficiency,Total_18_44_Vaccination,Total_45_60_Comorb_Vaccination,Total_60_Comorb_Vaccination,Covishield_Preference_Ratio,District_Performance_Score
1.0,Aranthangi,2374,1231,2277,866,26869,0,24192,4668,12218,2750,67930,9515,129,77,297,119,4276,0,3386,984,904,354,8992,1534,2503,1308,2574,985,31145,0,27578,5652,13122,3104,76922,11049,87971,3811,3559,77445,10526,14.363901094615326,31145,33230,16226,88.03469325118505,0.004318425497435514
2.0,Ariyalur,4069,2593,9037,4563,32986,0,28867,3879,13301,2685,88260,13720,154,131,803,498,4436,0,2809,803,533,202,8735,1634,4223,2724,9840,5061,37422,0,31676,4682,13834,2887,96995,15354,112349,6947,14901,101980,10369,15.829681942368163,37422,36358,16721,90.77072337092453,0.028853420159505098
3.0,Attur,5548,4971,9933,3670,34590,33,76969,20255,41823,11796,168863,40725,148,327,231,91,5157,7,6340,3452,3009,1668,14885,5545,5696,5298,10164,3761,39747,40,83309,23707,44832,13464,183748,46270,230018,10994,13925,209588,20430,25.181226462328844,39787,107016,58296,91.11808641062873,0.17115737428715286
4.0,Chengalpet,22115,8575,22380,6485,104500,0,102692,29009,89426,30757,341113,74826,2576,1695,1297,1048,21341,232,12004,6720,6660,4332,43878,14027,24691,10270,23677,7533,125841,232,114696,35729,96086,35089,384991,88853,473844,34961,31210,415939,57905,23.079240813421613,126073,150425,131175,87.77973341437266,0.1544607655199353
5.0,Chennai,79789,42940,151967,30113,288163,753,517048,155469,364361,167973,1401328,397248,18063,10664,50428,28874,79898,2112,138058,103479,96495,71362,382942,216491,97852,53604,202395,58987,368061,2865,655106,258948,460856,239335,1784270,613739,2398009,151456,261382,1798576,599433,34.397204458966414,370926,914054,700191,75.00288781234767,0.4346733577588977
6.0,Cheyyar,2386,1732,3869,1842,41273,0,19248,3524,8509,2813,75285,9911,245,162,427,220,6293,137,4503,2353,2461,1655,13929,4527,2631,1894,4296,2062,47566,137,23751,5877,10970,4468,89214,14438,103652,4525,6358,85196,18456,16.183558634295068,47703,29628,15438,82.19426542661984,0.03218432964586611
7.0,Coimbatore,42168,23014,23517,27871,133224,0,209412,37941,166210,54404,574531,143230,2893,3772,2638,4908,35350,256,30021,11620,20268,8625,91170,29181,45061,26786,26155,32779,168574,256,239433,49561,186478,63029,665701,172411,838112,71847,58934,717761,120351,25.899164940416192,168830,288994,249507,85.64022469550609,0.21794310596785788
8.0,Cuddalore,8017,4768,12571,3890,90629,0,80937,19962,38481,12990,230635,41610,1688,886,1993,1111,12055,12,14930,9749,8521,4939,39187,16697,9705,5654,14564,5001,102684,12,95867,29711,47002,17929,269822,58307,328129,15359,19565,272245,55884,21.60943140292489,102696,125578,64931,82.96889333158606,0.12308159123278196
9.0,Dharmapuri,8912,5777,14363,6943,62889,0,47000,8592,20831,5045,153995,26357,961,542,744,409,9836,306,7255,3135,3461,1736,22257,6128,9873,6319,15107,7352,72725,306,54255,11727,24292,6781,176252,32485,208737,16192,22459,180352,28385,18.430996527698976,73031,65982,31073,86.40154835989786,0.07297137158034168
10.0,Dindigul,6980,3683,11699,5626,53229,5,36624,9127,23198,6863,131730,25304,698,198,657,452,6520,0,6181,2585,4052,2324,18108,5559,7678,3881,12356,6078,59749,5,42805,11712,27250,9187,149838,30863,180701,11559,18434,157034,23667,20.597578718349148,59754,54517,36437,86.90267347718054,0.1026839962068209
